,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9
Erlotinib,RPS11,RPL5,TPT1,DSTN,MYL12A,TXN,PRDX1,SRP14,RTN4,ATP5PO
Lapatinib,GAPDH,RPS3,ATP5F1A,CALM2,RPL11,HSPA8,EEF2,UBC,IARS1,SNRPD2
Nilotinib,RPS24,RPS6,NCL,H2AZ1,FAU,MRPL3,EEF2,NOP58,PTTG1,RPL11
Nutlin-3a (-),TUBA1B,SLC25A5,RPL35A,UBB,ACTG1,SNRPD2,PCNA,MORF4L2,MGST1,H2AZ1
PD0325901,RPL37A,RPL38,DYNLL1,CALM2,DUSP6,RPL11,FAU,TPT1,GPRC5A,NACA
PHA-665752,TAGLN,MTCL1,TUBB2B,CSRP2,IFITM1,NNMT,GNAI1,GRB14,ALDH1A1,SPARC
PLX-4720,LDHB,SLC25A3,BEX3,YWHAG,RPS6,UBC,RPL11,CLTC,BTF3,NACA
Paclitaxel,ABCB1,MACROD2,POPDC3,PARM1,CDH13,UPK1B,CNRIP1,NPPB,SLC10A4,FOXL2
Palbociclib,MAL2,KRT19,TM4SF1,TPM1,PTGR1,PRSS23,PPIC,MYOF,FSTL1,GRB14
Selumetinib,S100B,PLP1,DCT,BASP1,MLANA,TENM2,LYZ,EDNRB,TYR,UCHL1
Sorafenib,UBB,PTGES3,RPL8,LDHB,RPLP2,RPS21,COX4I1,ANP32B,CSNK2B,MORF4L1
Tanespimycin,ADIRF,AGR2,MACROD2,ABCB1,GSTT1,S100P,TACSTD2,KLF4,PYCARD,PLAU
