Sample Name	COSMIC identifier	Whole Exome Sequencing (WES)	Copy Number Alterations (CNA)	Gene Expression	Methylation	Drug Response	GDSC Tissue descriptor 1	GDSC Tissue descriptor 2	Cancer Type (matching TCGA label)	Microsatellite instability Status (MSI)	Screen Medium	Growth Properties
NA	NCIH1666_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	NCIH1048_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HS895T_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	SKNDZ_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH1792_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	LS513_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	SNU387_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	CHL1_SKIN	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HSC2_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	NA	NA	NA	NA	HNSC	NA	NA	NA
NA	LS411N_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	A172_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KPNSI9S_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH2452_PLEURA	NA	NA	NA	NA	NA	NA	NA	MESO	NA	NA	NA
NA	GI1_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	LGG	NA	NA	NA
NA	COV318_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	CAL78_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	PANC0203_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	LAML	NA	NA	NA
NA	PK59_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	HEC1B_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	SKMEL30_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	EFE184_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	MOGGCCM_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH2085_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	HS683_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	LGG	NA	NA	NA
NA	OVMANA_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	HLF_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	KELLY_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	A204_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	RVH421_SKIN	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	VMRCRCZ_KIDNEY	NA	NA	NA	NA	NA	NA	NA	KIRC	NA	NA	NA
NA	CAMA1_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	LC1SQSF_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH1373_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	A375_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	TEN_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	TOV21G_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	KYSE70_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	SJRH30_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HT1376_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
