,CANCERTYPE,ACCURACY,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
0,BLCA,0.9221556886227545,0.9733031674208144,0.9817008966822265,128,0.1,0.014530495141666015,100.0,0.001
1,BRCA,0.8662790697674418,0.9076163866613448,0.9305229810795376,128,0.1,0.014530495141666015,100.0,0.001
2,CHOL,1.0,1.0,0.9999999999999998,128,0.1,0.014530495141666015,100.0,0.001
3,COADREAD,0.875968992248062,0.9494395711500975,0.95962774527667,128,0.1,0.014530495141666015,100.0,0.001
4,DLBC,0.875,0.936882435974995,0.9301426518559499,128,0.1,0.014530495141666015,100.0,0.001
5,ESCA,0.8867924528301887,0.9207936507936507,0.9000151406311444,128,0.1,0.014530495141666015,100.0,0.001
6,GBM,0.9714285714285714,0.9916953464013167,0.9959482797672505,128,0.1,0.014530495141666015,100.0,0.001
7,HNSC,0.8987341772151899,0.9541343669250646,0.9545215690591458,128,0.1,0.014530495141666015,100.0,0.001
8,KIRC,0.9135802469135802,0.9749999999999999,0.9891694177167137,128,0.1,0.014530495141666015,100.0,0.001
9,LAML,0.8125,0.8505244755244755,0.7574959461323877,128,0.1,0.014530495141666015,100.0,0.001
10,LGG,0.9782608695652174,0.9553752535496958,0.9559610348943706,128,0.1,0.014530495141666015,100.0,0.001
11,LIHC,0.9123711340206185,0.9567972350230416,0.9794971139758708,128,0.1,0.014530495141666015,100.0,0.001
12,LUAD,0.881578947368421,0.9300784655623365,0.9339836571940763,128,0.1,0.014530495141666015,100.0,0.001
13,LUSC,0.9120879120879121,0.951530612244898,0.9565386012275507,128,0.1,0.014530495141666015,100.0,0.001
14,MESO,0.9523809523809523,0.9287888009738283,0.9200751403046428,128,0.1,0.014530495141666015,100.0,0.001
15,OV,0.9469964664310954,0.975363941769317,0.9827339960956603,128,0.1,0.014530495141666015,100.0,0.001
16,PAAD,0.8866666666666667,0.9378571428571428,0.9196894714478911,128,0.1,0.014530495141666015,100.0,0.001
17,PRAD,0.9722222222222222,1.0,0.9999999999999999,128,0.1,0.014530495141666015,100.0,0.001
18,SKCM,0.837708830548926,0.9449071108263933,0.9434405570190463,128,0.1,0.014530495141666015,100.0,0.001
19,STAD,0.9018691588785047,0.9378182792816939,0.9471189688490993,128,0.1,0.014530495141666015,100.0,0.001
20,THCA,0.9,0.9494949494949495,0.9192069056291597,128,0.1,0.014530495141666015,100.0,0.001
21,UCEC,0.9181818181818182,0.9711607142857143,0.9835261992492257,128,0.1,0.014530495141666015,100.0,0.001
22,others,0.8980242192479286,0.9322501046434696,0.9348794603955124,128,0.1,0.014530495141666015,100.0,0.001
