,DRUGNAME,ACCURACY,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
0,(5Z)-7-Oxozeaenol,0.26034858387799564,0.7971760185282661,0.3671050433624104,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
1,5-Fluorouracil,0.45951859956236324,0.8018363215731638,0.7954161744845356,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
2,A-443654,0.2638190954773869,0.7039183222958059,0.4261919702842084,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
3,A-770041,0.6265664160401002,0.640032679738562,0.7682475669504174,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
4,AICA Ribonucleotide,0.5166666666666667,0.684106749816581,0.7140572597272388,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
5,AKT inhibitor VIII,0.7520844913841023,0.6853611105636256,0.8526754924908847,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
6,AR-42,0.4105378704720088,0.7242553285869542,0.26363214096191556,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
7,AS601245,0.5783410138248848,0.6860799608650109,0.6740118428823363,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
8,AS605240,0.5806100217864923,0.7173257779576677,0.7101644612147028,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
9,AT-7519,0.29053318824809576,0.7436995734025781,0.5173116709005235,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
10,AZ628,0.38308457711442784,0.6612139945838007,0.7769602565823419,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
11,AZD6482,0.7248171074845244,0.6359148153793392,0.8178558330349099,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
12,AZD7762,0.2037691401648999,0.7644171884973002,0.43638034666595116,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
13,AZD8055,0.3816884661117717,0.7637612766596074,0.46825249945094577,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
14,Afatinib,0.6200453001132503,0.46586605677277726,0.8478262565004908,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
15,Alectinib,0.8694232861806311,0.7676883116883118,0.9848397100324969,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
16,Amuvatinib,0.7459105779716467,0.6680818756073859,0.8214286914473358,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
17,Avagacestat,0.8262987012987013,0.5704038742690059,0.990904200267506,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
18,Axitinib,0.8745562130177514,0.7419846220803714,0.9444541546399707,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
19,BAY-61-3606,0.4827188940092166,0.7683369566950689,0.7541341121983542,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
20,BI-2536,0.35516372795969775,0.7664861612515043,0.6090342184542012,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
21,BIX02189,0.8586956521739131,0.8411568113630322,0.9645876310115551,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
22,BMS-345541,0.7356446370530878,0.7950660008898995,0.8379351885895898,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
23,BMS-509744,0.731829573934837,0.7131716827098818,0.8558199840156833,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
24,BMS-536924,0.6872645064054258,0.641025641025641,0.7757784308880309,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
25,BMS-754807,0.48904267589388695,0.6710076108174501,0.6146351121906933,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
26,BX-912,0.6579804560260586,0.8004646360351059,0.8610630073610863,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
27,BX795,0.6160188457008245,0.7585298026558259,0.7749317572953999,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
28,Belinostat,0.9094972067039107,0.7096187096187097,0.1903223006536909,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
29,Bexarotene,0.09534883720930233,0.7035769188101237,0.9556566467481428,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
30,Bicalutamide,0.8062857142857143,0.6038318025258324,0.9969316742825575,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
31,Bortezomib,0.3,0.6475,0.2924157345578118,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
32,Bosutinib,0.5428907168037603,0.7488711094948025,0.89676812502016,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
33,Bryostatin 1,0.07381776239907728,0.6244563068406486,0.981032461615497,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
34,CAY10603,0.5005464480874317,0.7363216796594768,0.2604213220719464,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
35,CCT-018159,0.7422222222222222,0.6827072749071013,0.8653297498608397,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
36,CCT007093,0.10086767895878525,0.4978922716627634,0.9936663750055913,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
37,CGP-082996,0.7864321608040201,0.7695121951219511,0.9397960160098692,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
38,CGP-60474,0.24371859296482412,0.7239908337740173,0.4364998837963445,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
39,CHIR-99021,0.9203342618384401,0.6801907261142127,0.9589252480887959,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
40,CI-1040,0.5386444708680143,0.6550255729822294,0.6885763947411215,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
41,CMK,0.6557788944723618,0.6960315462706603,0.8198566497480232,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
42,CP466722,0.66738894907909,0.762797074954296,0.6544348775347673,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
43,CP724714,0.8796095444685467,0.49049217002237133,0.9722492373968006,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
44,CUDC-101,0.13510520487264674,0.7269979497368476,0.2996489825069803,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
45,CX-5461,0.664488017429194,0.7819521748093177,0.8529865494991629,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
46,Cabozantinib,0.6119565217391304,0.7903736901394752,0.9401354545327475,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
47,Cetuximab,0.47206385404789053,0.5005376344086021,0.9586665370633407,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
48,Cisplatin,0.3235294117647059,0.6978371541501975,0.8305910011997057,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
49,Crizotinib,0.9259259259259259,0.7883157894736842,0.9786906181033105,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
50,Cytarabine,0.6595744680851063,0.7154764748029616,0.6034784333880736,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
51,DMOG,0.9064994298745724,0.6880963337935266,0.20513870583187696,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
52,Dabrafenib,0.7748571428571429,0.7000627659900187,0.8896632221292906,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
53,Dacinostat,0.2580275229357798,0.8010447073283147,0.12082569026927668,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
54,Dactolisib,0.07719714964370546,0.7847054332612292,0.15717395811023208,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
55,Daporinad,0.31893687707641194,0.7189042799942986,0.465253979475126,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
56,Dasatinib,0.5139240506329114,0.5382421916640017,0.6583147576637365,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
57,Docetaxel,0.6635294117647059,0.6731327183454843,0.5658287491151693,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
58,Doramapimod,0.929678188319428,0.5736635650428754,0.9771451460363121,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
59,Doxorubicin,0.8622273249138921,0.8210210007427915,0.42239267536802383,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
60,EHT-1864,0.8138528138528138,0.6273760330578513,0.9678058653902576,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
61,Elesclomol,0.5347467608951708,0.5671038107319967,0.29837841731243786,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
62,Embelin,0.7465596330275229,0.6933536935057037,0.47138326575776457,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
63,Entinostat,0.355,0.6578262061403508,0.3848440893525615,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
64,Enzastaurin,0.5537459283387622,0.6931825771671198,0.7000862172331319,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
65,Epothilone B,0.8277841561423651,0.8042209358417752,0.5767568713617718,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
66,Erlotinib,0.745945945945946,0.39964494569757725,0.91399910730568,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
67,Etoposide,0.7309875141884222,0.7972589149815178,0.5913305932876158,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
68,FH535,0.757192174913694,0.750889542079208,0.32301417776352537,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
69,FR-180204,0.4706521739130435,0.866113674864186,0.9956817566037108,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
70,FTI-277,0.5397727272727273,0.44610061219057756,0.9848674872622578,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
71,Fedratinib,0.5238611713665944,0.7583176426285069,0.7304583321225926,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
72,Foretinib,0.1297709923664122,0.7852666000545009,0.30614789041935503,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
73,GNF-2,0.9747474747474747,0.8277202072538861,0.9935741804068534,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
74,GSK1070916,0.4782122905027933,0.7934022042703985,0.753849783246229,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
75,GSK1904529A,0.6670493685419059,0.6784200385356455,0.9968196769293826,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
76,GSK269962A,0.7064564564564565,0.6237702107818264,0.8052860595284768,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
77,GSK319347A,0.3308457711442786,0.4114713216957606,0.9977987567540286,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
78,GSK429286A,0.9014084507042254,0.79884691245638,0.9712224006492264,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
79,GSK650394,0.6234067207415991,0.7428252678073379,0.8342299539794035,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
80,GSK690693,0.6782608695652174,0.7190936583577712,0.9046802970083303,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
81,GW-2580,0.8633405639913232,0.5514919941775837,0.9937303984180228,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
82,GW441756,0.7260920897284534,0.5413999146393512,0.9301924640864951,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
83,GW843682X,0.2506265664160401,0.7499331103678929,0.5357973916924892,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
84,Gefitinib,0.5851063829787234,0.6268515470704412,0.9577450076346694,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
85,Gemcitabine,0.7136258660508084,0.7920857052498419,0.5555707587710116,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
86,HG6-64-1,0.408675799086758,0.722949802016598,0.5649744706403536,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
87,I-BET-762,0.7549019607843137,0.7731166264001756,0.8604932859671793,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
88,IOX2,0.8807733619763695,0.5796074154852782,0.9875405990045447,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
89,IPA-3,0.4241379310344828,0.7439105528779839,0.7971772715020277,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
90,Idelalisib,0.8764897074756229,0.8113719751436872,0.9615562457093838,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
91,Imatinib,0.958128078817734,0.8146632566069907,0.9883464432487075,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
92,Ispinesib Mesylate,0.5455531453362256,0.8086184563264802,0.8275429102636591,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
93,JNK Inhibitor VIII,0.8264462809917356,0.5668367346938776,0.9943889670616248,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
94,JNK-9L,0.1715909090909091,0.8125199538299074,0.1903016782918639,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
95,JQ1,0.6265998887033946,0.6315908830990601,0.7172415509235266,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
96,JW-7-52-1,0.2994791666666667,0.6411039871769185,0.2526065058456,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
97,KIN001-244,0.6082698585418934,0.7983676470588235,0.8344260484976109,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
98,KIN001-260,0.8933623503808488,0.8483200359590966,0.9745757655788014,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
99,KIN001-266,0.6206521739130435,0.7935782421076538,0.7881429120740315,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
100,KIN001-270,0.9717391304347827,0.8863792806745826,0.9961812315360581,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
101,KU-55933,0.8278301886792453,0.8057354078082721,0.9786459496534292,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
102,LFM-A13,0.9367816091954023,0.5465116279069767,0.991257929246814,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
103,Lapatinib,0.9368686868686869,0.3937466307277627,0.926330920204508,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
104,Lenalidomide,0.98,0.855952380952381,0.9977897717772117,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
105,Lestaurtinib,0.22025912838633688,0.8014251955522175,0.47938497943574016,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
106,Linifanib,0.9739696312364425,0.7510671863400149,0.9900016040409717,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
107,Linsitinib,0.8016147635524798,0.5988162958005689,0.8613388080509365,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
108,Luminespib,0.6190476190476191,0.8116244752047221,0.4627280338729288,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
109,MG-132,0.645,0.6747056836196367,0.6127364553305981,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
110,MK-2206,0.6048484848484849,0.6426821064770324,0.6867032444922961,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
111,MPS-1-IN-1,0.7832244008714597,0.8078530880463248,0.8880891816282575,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
112,Masitinib,0.6916395222584147,0.8423590422597373,0.9134021093650009,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
113,Methotrexate,0.7561837455830389,0.8049356843474491,0.9051670976921531,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
114,Mitomycin-C,0.8623853211009175,0.841375968992248,0.06676478642153796,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
115,Motesanib,0.9705535924617197,0.5966183574879227,0.9821097905335543,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
116,NG-25,0.6532608695652173,0.8032447573841175,0.8096154968850555,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
117,NSC-207895,0.29617486338797816,0.6936982879145561,0.832198265938697,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
118,NSC-87877,0.906392694063927,0.5859375,0.9780381641592506,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
119,NU7441,0.91725768321513,0.8139675277221745,0.9885674368131396,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
120,NVP-BHG712,0.7239130434782609,0.7963700603114591,0.8922487840874063,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
121,NVP-TAE684,0.5234567901234568,0.6668294111903134,0.6643249747515209,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
122,Navitoclax,0.7279151943462897,0.6095329552680413,0.7349083677453772,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
123,Nilotinib,0.9490683229813665,0.8529269081500647,0.9920272832312218,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
124,Nutlin-3a (-),0.751472320376914,0.6968113786371666,0.902093600712334,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
125,OSI-027,0.74235807860262,0.7323044692737428,0.4247469394968432,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
126,OSI-930,0.9348534201954397,0.9059473884864659,0.9913482252461602,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
127,OSU-03012,0.271264367816092,0.8125791297394549,0.5503439033122712,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
128,Obatoclax Mesylate,0.2708333333333333,0.8963862559241706,0.19964116611974586,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
129,Olaparib,0.43060295790671216,0.7601569197510156,0.9728128114329981,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
130,Omipalisib,0.1052060737527115,0.732745717611841,0.18179512171836848,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
131,PAC-1,0.8055878928987195,0.7416645691752664,0.9067471598555867,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
132,PD0325901,0.6111771700356718,0.5515702927070221,0.3167157557949076,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
133,PD173074,0.7950530035335689,0.6335295820866712,0.9569926064043877,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
134,PF-4708671,0.8931718061674009,0.5968425300110966,0.9626089881387245,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
135,PF-562271,0.8125,0.7043196087623985,0.9203329822095832,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
136,PFI-1,0.6580921757770632,0.7327855692496577,0.7891952333925963,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
137,PFI-3,0.8814553990610329,0.4366155660377359,0.9940351024028653,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
138,PHA-665752,0.5197044334975369,0.6823935558112774,0.9854824922274825,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
139,PHA-793887,0.7082429501084598,0.7933483252455912,0.8080585758199643,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
140,PI-103,0.5082146768893757,0.7140629167101494,0.45619417209639196,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
141,PIK-93,0.5402173913043479,0.7765348159560572,0.718282123733055,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
142,PLX-4720,0.877262443438914,0.5968005952380953,0.9333635263095224,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
143,Paclitaxel,0.7619047619047619,0.7322106552357623,0.5708365522644253,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
144,Palbociclib,0.6181818181818182,0.6668522109698581,0.7327290313063838,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
145,Parthenolide,0.17164179104477612,0.7277712495103801,0.9239417143904564,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
146,Pazopanib,0.6486175115207373,0.6255671996542783,0.8759857917546257,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
147,Pelitinib,0.30293159609120524,0.7450969061680169,0.5783780428622608,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
148,Pevonedistat,0.5667613636363636,0.6883006599378882,0.714236453927007,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
149,Phenformin,0.40131578947368424,0.6394989106753812,0.4327261202068723,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
150,Pictilisib,0.42634315424610053,0.6232017884914463,0.5087584459732837,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
151,Piperlongumine,0.2172043010752688,0.7500137241985068,0.42154838158237407,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
152,Ponatinib,0.7909090909090909,0.7194118026859504,0.8995907893198725,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
153,Pyrimethamine,0.655860349127182,0.7455104618595201,0.8492296586567218,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
