,CANCERTYPE,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
0,BLCA,5557,167,0.9221556886227545,0.9009009009009009,0.9803921568627451,0.9389671361502347,0.9502262443438914,0.9617099352235308,128,0.1,0.014530495141666015,100.0,0.001
1,BRCA,5380,344,0.875,0.9065420560747663,0.8940092165898618,0.9002320185614848,0.9046772379259044,0.9265797838578534,128,0.1,0.014530495141666015,100.0,0.001
2,CHOL,5712,12,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,128,0.1,0.014530495141666015,100.0,0.001
3,COADREAD,5466,258,0.872093023255814,0.87248322147651,0.9027777777777778,0.8873720136518771,0.9237329434697855,0.9324228437467621,128,0.1,0.014530495141666015,100.0,0.001
4,DLBC,5580,144,0.8819444444444444,0.8723404255319149,0.9425287356321839,0.9060773480662984,0.9140955837870538,0.9082561708481469,128,0.1,0.014530495141666015,100.0,0.001
5,ESCA,5565,159,0.8867924528301887,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9179365079365079,0.8986592990418382,128,0.1,0.014530495141666015,100.0,0.001
6,GBM,5479,245,0.9714285714285714,0.9875,0.9693251533742331,0.978328173374613,0.9942391141702829,0.9972523658183932,128,0.1,0.014530495141666015,100.0,0.001
7,HNSC,5645,79,0.8987341772151899,0.8431372549019608,1.0,0.9148936170212766,0.9677002583979328,0.9670923608586693,128,0.1,0.014530495141666015,100.0,0.001
8,KIRC,5643,81,0.9259259259259259,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.9628571428571429,0.9828986965593332,128,0.1,0.014530495141666015,100.0,0.001
9,LAML,5628,96,0.8125,0.782608695652174,0.8181818181818182,0.8,0.9287587412587412,0.9130583591331936,128,0.1,0.014530495141666015,100.0,0.001
10,LGG,5678,46,0.9565217391304348,0.9354838709677419,1.0,0.9666666666666666,0.949290060851927,0.9409774552556185,128,0.1,0.014530495141666015,100.0,0.001
11,LIHC,5530,194,0.9072164948453608,0.9274193548387096,0.9274193548387096,0.9274193548387096,0.9640552995391706,0.9805433207105996,128,0.1,0.014530495141666015,100.0,0.001
12,LUAD,5192,532,0.8872180451127819,0.8698224852071006,0.9483870967741935,0.9074074074074073,0.9252397558849172,0.9094681307859076,128,0.1,0.014530495141666015,100.0,0.001
13,LUSC,5542,182,0.9175824175824175,0.9145299145299145,0.9553571428571429,0.9344978165938864,0.9493622448979591,0.9485517288556883,128,0.1,0.014530495141666015,100.0,0.001
14,MESO,5640,84,0.9404761904761905,0.9285714285714286,0.9811320754716981,0.9541284403669724,0.928180158247109,0.9268485456676442,128,0.1,0.014530495141666015,100.0,0.001
15,OV,5441,283,0.9540636042402827,0.9781420765027322,0.9521276595744681,0.9649595687331537,0.973124300111982,0.9817705495689646,128,0.1,0.014530495141666015,100.0,0.001
16,PAAD,5424,300,0.9233333333333333,0.9005847953216374,0.9625,0.9305135951661632,0.9568749999999999,0.9367574565695193,128,0.1,0.014530495141666015,100.0,0.001
17,PRAD,5688,36,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,128,0.1,0.014530495141666015,100.0,0.001
18,SKCM,5305,419,0.8448687350835322,0.7947761194029851,0.9551569506726457,0.8676171079429735,0.963256154479729,0.9629383226801709,128,0.1,0.014530495141666015,100.0,0.001
19,STAD,5510,214,0.8785046728971962,0.907563025210084,0.8780487804878049,0.8925619834710744,0.9260251943178771,0.9285564617848117,128,0.1,0.014530495141666015,100.0,0.001
20,THCA,5664,60,0.8833333333333333,0.825,1.0,0.9041095890410958,0.9663299663299664,0.9540544716598809,128,0.1,0.014530495141666015,100.0,0.001
21,UCEC,5504,220,0.9363636363636364,0.9632352941176471,0.9357142857142857,0.9492753623188407,0.9591964285714286,0.9742693566731719,128,0.1,0.014530495141666015,100.0,0.001
22,others,4155,1569,0.9012109623964308,0.8893320039880359,0.9529914529914529,0.9200618875709129,0.9267276299266821,0.931488690023866,128,0.1,0.014530495141666015,100.0,0.001
