,CANCERTYPE,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
0,ACC,189846,190,0.8052631578947368,0.8888888888888888,0.8296296296296296,0.8582375478927203,0.874006734006734,0.9288983414517644,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
1,ALL,184858,5178,0.7767477790652761,0.7523773297831875,0.7966169955698752,0.7738654147104851,0.8694050153287252,0.8655587994532943,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
2,BLCA,186481,3555,0.8278481012658228,0.8557046979865772,0.8838821490467937,0.8695652173913042,0.8998487183799178,0.9397472140090934,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
3,BRCA,180641,9395,0.8294837679616818,0.8509642654566081,0.9159035409035409,0.8822405174948545,0.8869094861444492,0.9452800609095557,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
4,CESC,187557,2479,0.8350141185962081,0.8676122931442081,0.8880822746521476,0.8777279521674141,0.9062446443402487,0.951008459922714,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
5,CLL,189404,632,0.7262658227848101,0.8808139534883721,0.696551724137931,0.7779204107830552,0.8307135772215415,0.908711035454902,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
6,COAD/READ,181093,8943,0.7864251369786425,0.8523010466854959,0.8340107299626077,0.8430566967953986,0.8623030639134783,0.9330437131572714,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
7,DLBC,183579,6457,0.7740436735326003,0.7602996254681648,0.834654919236417,0.7957440851182976,0.8667289738511903,0.8799009134502114,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
8,ESCA,183372,6664,0.8062725090036015,0.8365426695842451,0.8754293565376688,0.8555443661183842,0.872243133510431,0.9273557646967672,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
9,GBM,183034,7002,0.8326192516423879,0.8593947036569988,0.8904616724738676,0.8746524064171124,0.900978971185681,0.9428497288595042,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
10,HNSC,182324,7712,0.821058091286307,0.8530183727034121,0.8663112569202378,0.8596134282807731,0.8909152813533923,0.9303114214966716,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
11,KIRC,184429,5607,0.7990012484394506,0.84375,0.8490566037735849,0.8463949843260189,0.8651122890417394,0.9192208673468791,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
12,LAML,184106,5930,0.7789207419898819,0.8246702870442203,0.7122278056951423,0.7643357900413444,0.8634675926320908,0.8645694580121805,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
13,LCML,187847,2189,0.8063042485153038,0.7839622641509434,0.8099415204678363,0.7967401725790987,0.8791351767208218,0.8438151963025148,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
14,LGG,186426,3610,0.8299168975069252,0.864399664147775,0.8761702127659574,0.8702451394759086,0.8956332320162106,0.9371643794409639,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
15,LIHC,186930,3106,0.7862202189311011,0.8540540540540541,0.8004052684903749,0.8263598326359832,0.8709887101220459,0.9238794489370558,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
16,LUAD,178277,11759,0.821753550471979,0.8395826166724,0.9130814315999501,0.8747909199522103,0.883589309614265,0.9384407377462685,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
17,LUSC,187244,2792,0.829512893982808,0.8342995169082126,0.928494623655914,0.878880407124682,0.9051773270570861,0.9505458148711059,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
18,MB,189223,813,0.8130381303813038,0.8836734693877552,0.8200757575757576,0.850687622789784,0.8983718766613503,0.9383500824680122,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
19,MESO,186337,3699,0.8161665314949986,0.9120294599018003,0.8273942093541202,0.8676527831841183,0.8870037341133974,0.9526362068342,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
20,MM,186497,3539,0.7988132240745973,0.8164775530340405,0.8295739348370927,0.8229736449527598,0.8818235679873259,0.9128793843893347,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
21,NB,183749,6287,0.7862255447749324,0.8233583716985704,0.8467480687764765,0.834889434889435,0.8675847032763571,0.9189185761640795,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
22,OV,184575,5461,0.8243911371543673,0.8517944745675187,0.8954940282301845,0.8730977901283578,0.8996682638638118,0.9483058025820222,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
23,PAAD,184554,5482,0.8372856621670923,0.8690443778927307,0.8859283930058285,0.8774051676745463,0.9058878112482989,0.9488939196642585,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
24,PRAD,188941,1095,0.8045662100456621,0.812958435207824,0.9159779614325069,0.86139896373057,0.8769419994475426,0.9330705847757832,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
25,SCLC,178528,11508,0.8070907194994786,0.84874747714591,0.8831377393452748,0.8656011623683255,0.871948153763713,0.9424670263536494,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
