,CANCERTYPE,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,ALPHA,L1_RATIO,ETA0
0,ACC,189846,190,0.7105263157894737,0.7105263157894737,1.0,0.8307692307692308,0.5,0.7105263157894737,0.010196888209425372,0.43973347551563247,0.02181201561605224
1,ALL,184858,5178,0.5204712244109695,0.0,0.0,0.0,0.5006354154446899,0.4753074517769223,0.010196888209425372,0.43973347551563247,0.02181201561605224
2,BLCA,186481,3555,0.5549929676511955,0.6994505494505494,0.5515597920277296,0.616763565891473,0.5654946221017096,0.6878852232422338,0.010196888209425372,0.43973347551563247,0.02181201561605224
3,BRCA,180641,9395,0.6973922299095263,0.6973922299095263,1.0,0.821721953972534,0.5387632992715651,0.7252584323126402,0.010196888209425372,0.43973347551563247,0.02181201561605224
4,CESC,187557,2479,0.6668011294876967,0.6668011294876967,1.0,0.8000968054211036,0.5532251874572462,0.6931721607308269,0.010196888209425372,0.43973347551563247,0.02181201561605224
5,CLL,189404,632,0.6882911392405063,0.6882911392405063,1.0,0.8153701968134959,0.48562343193885293,0.677508426693826,0.010196888209425372,0.43973347551563247,0.02181201561605224
6,COAD/READ,181093,8943,0.5693838756569384,0.7042628774422736,0.6446106324174931,0.6731177319412613,0.5306282168576033,0.6993839398699396,0.010196888209425372,0.43973347551563247,0.02181201561605224
7,DLBC,183579,6457,0.5273346755459192,0.5273346755459192,1.0,0.6905293044007301,0.5069613243187588,0.5262083350803768,0.010196888209425372,0.43973347551563247,0.02181201561605224
8,ESCA,183372,6664,0.543967587034814,0.6703437660338635,0.5983512708953515,0.6323049001814881,0.5050644008637624,0.6560047451497281,0.010196888209425372,0.43973347551563247,0.02181201561605224
9,GBM,183034,7002,0.6558126249642959,0.6558126249642959,1.0,0.792133862342591,0.5078502934925615,0.6495166008011621,0.010196888209425372,0.43973347551563247,0.02181201561605224
10,HNSC,182324,7712,0.6323910788381742,0.6323910788381742,1.0,0.7748033997934705,0.5163071162592726,0.6483582330067952,0.010196888209425372,0.43973347551563247,0.02181201561605224
11,KIRC,184429,5607,0.6522204387372926,0.6522204387372926,1.0,0.7895077720207254,0.5495219564866817,0.6832742994226011,0.010196888209425372,0.43973347551563247,0.02181201561605224
12,LAML,184106,5930,0.4934232715008432,0.47974413646055436,0.07537688442211055,0.13028372900984364,0.49304172247769695,0.5000103243562046,0.010196888209425372,0.43973347551563247,0.02181201561605224
13,LCML,187847,2189,0.5015989036089539,0.4833589349718382,0.9200779727095516,0.6337697213830145,0.5271601306696568,0.48490466709882274,0.010196888209425372,0.43973347551563247,0.02181201561605224
14,LGG,186426,3610,0.6509695290858726,0.6509695290858726,1.0,0.7885906040268457,0.5147372509287403,0.6644674580700464,0.010196888209425372,0.43973347551563247,0.02181201561605224
15,LIHC,186930,3106,0.3808757244043786,0.5841584158415841,0.08966565349544073,0.15546772068511197,0.4772052137146867,0.612088914251457,0.010196888209425372,0.43973347551563247,0.02181201561605224
16,LUAD,178277,11759,0.6819457436856876,0.6819457436856876,1.0,0.8109010011123472,0.5121418349334769,0.6832047754616389,0.010196888209425372,0.43973347551563247,0.02181201561605224
17,LUSC,187244,2792,0.666189111747851,0.666189111747851,1.0,0.7996560619088564,0.5364475171904565,0.6965683173394817,0.010196888209425372,0.43973347551563247,0.02181201561605224
18,MB,189223,813,0.6002460024600246,0.6753022452504318,0.740530303030303,0.7064137308039747,0.5823199096225412,0.7129163120974329,0.010196888209425372,0.43973347551563247,0.02181201561605224
19,MESO,186337,3699,0.7283049472830495,0.7283049472830495,1.0,0.8427968090098547,0.5117425123824086,0.731130359582377,0.010196888209425372,0.43973347551563247,0.02181201561605224
20,MM,186497,3539,0.5512856739191863,0.5933058230169647,0.6486215538847118,0.6197318007662834,0.5232844092095523,0.5900625208617263,0.010196888209425372,0.43973347551563247,0.02181201561605224
21,NB,183749,6287,0.40098616192142517,0.7644539614561028,0.08896087714926489,0.159375,0.5484946570961877,0.6782707814020813,0.010196888209425372,0.43973347551563247,0.02181201561605224
22,OV,184575,5461,0.6746017212964659,0.6746017212964659,1.0,0.805686167304538,0.5155650344582758,0.6850200919146308,0.010196888209425372,0.43973347551563247,0.02181201561605224
23,PAAD,184554,5482,0.657241882524626,0.657241882524626,1.0,0.7931755641166758,0.48530296067805834,0.6557709553106448,0.010196888209425372,0.43973347551563247,0.02181201561605224
24,PRAD,188941,1095,0.663013698630137,0.663013698630137,1.0,0.7973640856672158,0.4930793522811261,0.661746051446754,0.010196888209425372,0.43973347551563247,0.02181201561605224
