,CANCERTYPE,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,N_ESTIMTORS,MAX_DEPTH
0,ACC,189846,190,0.7105263157894737,0.7105263157894737,1.0,0.8307692307692308,0.5,0.7105263157894737,51,7
1,ALL,184858,5178,0.488605639242951,0.48063834780567943,0.8248086991542489,0.6073546856465005,0.5423107931709278,0.5191796285930961,51,7
2,BLCA,186481,3555,0.6492264416315049,0.6492264416315049,1.0,0.7873102507248849,0.5448497537938539,0.689918628690007,51,7
3,BRCA,180641,9395,0.6973922299095263,0.6973922299095263,1.0,0.821721953972534,0.5048026459607535,0.7044202487705171,51,7
4,CESC,187557,2479,0.6668011294876967,0.6668011294876967,1.0,0.8000968054211036,0.5734023838087329,0.7119936078982241,51,7
5,CLL,189404,632,0.6882911392405063,0.6882911392405063,1.0,0.8153701968134959,0.44706809032032213,0.6643067900744679,51,7
6,COAD/READ,181093,8943,0.6878005143687801,0.6878005143687801,1.0,0.8150258380813568,0.5621859713448416,0.7196773510578651,51,7
7,DLBC,183579,6457,0.5273346755459192,0.5273346755459192,1.0,0.6905293044007301,0.5173639297694586,0.5412850154632781,51,7
8,ESCA,183372,6664,0.65531212484994,0.65531212484994,1.0,0.7917686519807814,0.5121315434285258,0.6724066902573003,51,7
9,GBM,183034,7002,0.6558126249642959,0.6558126249642959,1.0,0.792133862342591,0.5264938030419131,0.6722004966269197,51,7
10,HNSC,182324,7712,0.6323910788381742,0.6323910788381742,1.0,0.7748033997934705,0.5231995628619236,0.6580682498708791,51,7
11,KIRC,184429,5607,0.6522204387372926,0.6522204387372926,1.0,0.7895077720207254,0.5584212223834866,0.6928906338343388,51,7
12,LAML,184106,5930,0.49409780775716694,0.49834034078335915,0.7544388609715242,0.6002132196162047,0.48381926610983617,0.4942201968006957,51,7
13,LCML,187847,2189,0.5025125628140703,0.48066298342541436,0.7631578947368421,0.5898305084745763,0.5298988969509855,0.49128715944062196,51,7
14,LGG,186426,3610,0.6509695290858726,0.6509695290858726,1.0,0.7885906040268457,0.5479807497467072,0.6734080639246112,51,7
15,LIHC,186930,3106,0.6355441081777206,0.6355441081777206,1.0,0.7771653543307088,0.47803848439608915,0.6304295112260806,51,7
16,LUAD,178277,11759,0.6819457436856876,0.6819457436856876,1.0,0.8109010011123472,0.5343123250728717,0.7161432012003416,51,7
17,LUSC,187244,2792,0.666189111747851,0.666189111747851,1.0,0.7996560619088564,0.5371429230698233,0.6908346151676049,51,7
18,MB,189223,813,0.6494464944649446,0.6494464944649446,1.0,0.7874720357941833,0.4728036948431685,0.6255117463808479,51,7
19,MESO,186337,3699,0.7283049472830495,0.7283049472830495,1.0,0.8427968090098547,0.5430950296771525,0.7651878583576587,51,7
20,MM,186497,3539,0.5637185645662617,0.5637185645662617,1.0,0.7209974701843151,0.5475377238432869,0.5970087316830077,51,7
21,NB,183749,6287,0.638301256561158,0.638301256561158,1.0,0.7792233009708739,0.51539505183352,0.6469780847388912,51,7
22,OV,184575,5461,0.6746017212964659,0.6746017212964659,1.0,0.805686167304538,0.5305948948348942,0.6998287186504473,51,7
23,PAAD,184554,5482,0.657241882524626,0.657241882524626,1.0,0.7931755641166758,0.5131014055019197,0.670776249370449,51,7
24,PRAD,188941,1095,0.663013698630137,0.663013698630137,1.0,0.7973640856672158,0.5075552270674222,0.6659168163208207,51,7
25,SCLC,178528,11508,0.7034237052485227,0.7034237052485227,1.0,0.8258939958169668,0.5692189349048176,0.7500305730822779,51,7
26,SKCM,180006,10030,0.6322033898305085,0.6322033898305085,1.0,0.7746625129802701,0.5339125012627208,0.6623039128734629,51,7
27,STAD,186019,4017,0.6579536967886482,0.6579536967886482,1.0,0.7936936936936937,0.5288561254055507,0.6792174541023538,51,7
28,THCA,187176,2860,0.6293706293706294,0.6293706293706294,1.0,0.7725321888412017,0.5956553983228512,0.7208005195043002,51,7
29,UCEC,188268,1768,0.6787330316742082,0.6787330316742082,1.0,0.8086253369272237,0.5701753227699531,0.7223252872706385,51,7
30,others,149759,40277,0.6069965488988753,0.6098405745428616,0.9791862604784297,0.7515889581142794,0.5656566350847412,0.6647597662229585,51,7
