,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
0,(5Z)-7-Oxozeaenol,189118,918,0.18736383442265794,0.10885167464114832,0.9891304347826086,0.1961206896551724,0.7972549742078112,0.3647175388621085,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
1,5-Fluorouracil,189122,914,0.45951859956236324,0.0,0.0,0.0,0.8093695777906305,0.8033201444722937,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
2,A-443654,189638,398,0.25879396984924624,0.24552429667519182,1.0,0.3942505133470226,0.6860168322295805,0.39987017997924224,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
3,A-770041,189637,399,0.6416040100250626,0.7074074074074074,0.7490196078431373,0.7276190476190476,0.6488562091503267,0.7717341986872032,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
4,AICA Ribonucleotide,189196,840,0.580952380952381,0.6854304635761589,0.44612068965517243,0.5404699738903394,0.6743454236977257,0.7036708999402228,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
5,AKT inhibitor VIII,188237,1799,0.6775986659255142,0.8219983207388749,0.726800296956199,0.7714736012608353,0.6751121798030366,0.8463593397358695,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
6,AR-42,189125,911,0.5104281009879253,0.18285714285714286,0.8495575221238938,0.30094043887147337,0.7105928538159558,0.24424249038762177,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
7,AS601245,189168,868,0.5495391705069125,0.5169270833333334,0.9520383693045563,0.6700421940928271,0.682974684553909,0.6691910575101916,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
8,AS605240,189118,918,0.5664488017429193,0.5493757094211124,0.9979381443298969,0.7086383601756955,0.721497107211733,0.7200729405799567,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
9,AT-7519,189117,919,0.29379760609357997,0.2883771929824561,1.0,0.4476595744680851,0.7581841787999629,0.5409467158428725,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
10,AZ628,189634,402,0.3880597014925373,0.84,0.07984790874524715,0.14583333333333331,0.6698853844680909,0.783283335856168,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
11,AZD6482,188259,1777,0.7253798536859877,0.7254791431792559,0.9992236024844721,0.8406270411495754,0.611078033507348,0.8003211149917562,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
12,AZD7762,189187,849,0.22143698468786807,0.20552884615384615,1.0,0.3409770687936191,0.7592161327606135,0.42011409808686095,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
13,AZD8055,189195,841,0.34244946492271106,0.24693042291950887,0.9945054945054945,0.39562841530054643,0.7758258433523988,0.47176322683993377,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
