,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,ALPHA,L1_RATIO,ETA0
0,(5Z)-7-Oxozeaenol,189118,918,0.10130718954248366,0.10032715376226826,1.0,0.1823587710604559,0.6810848510369513,0.23393368581274285,0.010196888209425372,0.43973347551563247,0.02181201561605224
1,5-Fluorouracil,189122,914,0.6717724288840262,0.6385714285714286,0.9048582995951417,0.7487437185929647,0.7222961249277039,0.7347720009608528,0.010196888209425372,0.43973347551563247,0.02181201561605224
2,A-443654,189638,398,0.24120603015075376,0.24120603015075376,1.0,0.38866396761133604,0.6201710816777042,0.30981050012144595,0.010196888209425372,0.43973347551563247,0.02181201561605224
3,A-770041,189637,399,0.6340852130325815,0.6607669616519174,0.8784313725490196,0.7542087542087541,0.6001089324618736,0.7287692964236789,0.010196888209425372,0.43973347551563247,0.02181201561605224
4,AICA Ribonucleotide,189196,840,0.6476190476190476,0.6186440677966102,0.9439655172413793,0.7474402730375427,0.6848977439471754,0.6675256168395018,0.010196888209425372,0.43973347551563247,0.02181201561605224
5,AKT inhibitor VIII,188237,1799,0.7487493051695386,0.7487493051695386,1.0,0.856325492689129,0.6461178889830564,0.824191895434153,0.010196888209425372,0.43973347551563247,0.02181201561605224
6,AR-42,189125,911,0.13062568605927552,0.12486187845303867,1.0,0.2220039292730845,0.6528267571583827,0.18669114080073498,0.010196888209425372,0.43973347551563247,0.02181201561605224
7,AS601245,189168,868,0.4804147465437788,0.4804147465437788,1.0,0.6490272373540855,0.6520442182839095,0.6284619592733611,0.010196888209425372,0.43973347551563247,0.02181201561605224
8,AS605240,189118,918,0.6427015250544662,0.6028833551769331,0.9484536082474226,0.7371794871794871,0.7073069688816933,0.7023349619472962,0.010196888209425372,0.43973347551563247,0.02181201561605224
9,AT-7519,189117,919,0.28618063112078346,0.28618063112078346,1.0,0.4450084602368866,0.6968897802095892,0.4484592251691498,0.010196888209425372,0.43973347551563247,0.02181201561605224
