,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,N_ESTIMTORS,MAX_DEPTH
0,(5Z)-7-Oxozeaenol,189118,918,0.16013071895424835,0.10569105691056911,0.9891304347826086,0.19097586568730326,0.7911359090430572,0.3662234005431079,51,7
1,5-Fluorouracil,189122,914,0.5995623632385121,0.5754716981132075,0.9878542510121457,0.7272727272727272,0.8024773472141893,0.7847100220552308,51,7
2,A-443654,189638,398,0.39949748743718594,0.2852852852852853,0.9895833333333334,0.4428904428904429,0.7248896247240617,0.4198471130341945,51,7
3,A-770041,189637,399,0.6666666666666666,0.6804733727810651,0.9019607843137255,0.7757166947723441,0.6732298474945533,0.7937094023786493,51,7
4,AICA Ribonucleotide,189196,840,0.6178571428571429,0.5915492957746479,0.9956896551724138,0.7421686746987951,0.694813829787234,0.7129907682067429,51,7
5,AKT inhibitor VIII,188237,1799,0.754307948860478,0.7711204313960456,0.955456570155902,0.853448275862069,0.6740265158234293,0.8457042899517058,51,7
6,AR-42,189125,911,0.19099890230515917,0.13294117647058823,1.0,0.2346832814122534,0.7405349657329163,0.26177512581583506,51,7
7,AS601245,189168,868,0.5230414746543779,0.5018633540372671,0.9688249400479616,0.6612111292962357,0.7248693284839978,0.7229791302511136,51,7
8,AS605240,189118,918,0.5893246187363834,0.5629370629370629,0.9958762886597938,0.7192851824274014,0.7328635032499226,0.7243316226232188,51,7
9,AT-7519,189117,919,0.34929270946681173,0.3045507584597433,0.9923954372623575,0.4660714285714286,0.7519475099693962,0.5124913077174396,51,7
10,AZ628,189634,402,0.6915422885572139,0.7038123167155426,0.9125475285171103,0.794701986754967,0.6818393194189895,0.7931068150733127,51,7
11,AZD6482,188259,1777,0.7180641530669668,0.7371910789632309,0.9495341614906833,0.829996606718697,0.6269521078636843,0.8123943032243438,51,7
12,AZD7762,189187,849,0.2744405182567727,0.21656050955414013,0.9941520467836257,0.35564853556485354,0.7605875554175507,0.4553238056537038,51,7
